ID,Type,Confidence,Image
1,person,0.6712848544120789,../incidents\person_20260527_120020.jpg
2,person,0.9228273034095764,../incidents\person_20260527_120032.jpg
3,person,0.9262862801551819,../incidents\person_20260530_094821.jpg
4,person,0.8785319924354553,../incidents\person_20260530_094833.jpg
5,person,0.9350544214248657,../incidents\person_20260530_094844.jpg
6,person,0.93645179271698,../incidents\person_20260530_094855.jpg
7,person,0.9020512104034424,../incidents\person_20260530_094906.jpg
8,person,0.8156059980392456,../incidents\person_20260602_104546.jpg
9,person,0.8596423864364624,../incidents\person_20260602_104607.jpg
10,person,0.7873838543891907,../incidents\person_20260602_104715.jpg
11,person,0.5789843201637268,../incidents\person_20260602_104736.jpg
12,person,0.5907556414604187,../incidents\person_20260602_104757.jpg
13,person,0.29423704743385315,../incidents\person_20260602_105804.jpg
14,person,0.776126503944397,../incidents\person_20260602_105825.jpg
15,person,0.5852569937705994,../incidents\person_20260604_101120.jpg
16,person,0.8755546808242798,../incidents\person_20260604_101141.jpg
17,person,0.7746163606643677,../incidents\person_20260604_101202.jpg
18,person,0.4783356189727783,../incidents\person_20260604_101223.jpg
